id_arbol;altura_tot;diametro;inclinacion;id_especie;nombre_comun;nombre_cientifico;tipo_follaje;espacio_verde;ubicacion;nombre_familia;nombre_gen;origen;coord_x;coord_y;lat;lon
38134;5;9;4;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102685;101199;-34.6185;-58.434
38135;8;13;1;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102702;101204;-34.6184;-58.4338
38136;8;97;0;9;Ligustro;Ligustrum lucidum;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Oleáceas;Ligustrum;Exótico;102715;101239;-34.6181;-58.4337
38137;8;27;5;33;Morera blanca;Morus alba;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Moráceas;Morus;Exótico;102704;101235;-34.6181;-58.4338
38138;6;9;10;39;Lapacho amarillo;Tabebuia chrysotricha;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;Nativo/Autóctono;102704;101222;-34.6183;-58.4338
38139;12;22;4;39;Lapacho amarillo;Tabebuia chrysotricha;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;Nativo/Autóctono;102664;101219;-34.6183;-58.4343
38140;10;25;7;39;Lapacho amarillo;Tabebuia chrysotricha;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;Nativo/Autóctono;102662;101198;-34.6185;-58.4343
38141;9;22;9;39;Lapacho amarillo;Tabebuia chrysotricha;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;Nativo/Autóctono;102673;101203;-34.6184;-58.4342
38142;12;25;3;39;Lapacho amarillo;Tabebuia chrysotricha;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;Nativo/Autóctono;102676;101208;-34.6184;-58.4341
38143;2;50;6;9;Ligustro;Ligustrum lucidum;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Oleáceas;Ligustrum;Exótico;102688;101214;-34.6183;-58.434
38144;12;57;3;9;Ligustro;Ligustrum lucidum;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Oleáceas;Ligustrum;Exótico;102683;101205;-34.6184;-58.4341
38146;17;54;0;15;Álamo carolina;Populus deltoides;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Salicáceas;Populus;Exótico;102673;101278;-34.6177;-58.4342
38147;17;58;0;45;Casuarina;Casuarina cunninghamiana;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Casuarinaceas;Casuarina;Exótico;102673;101275;-34.6178;-58.4342
38148;9;43;16;9;Ligustro;Ligustrum lucidum;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Oleáceas;Ligustrum;Exótico;102691;101275;-34.6178;-58.434
38175;18;45;25;11;Jacarandá;Jacarandá mimosifolia;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Jacarandá;Nativo/Autóctono;102646;101217;-34.6183;-58.4345
38176;19;50;10;46;Ibirá pitá;Peltophorum dubium;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Leguminosas;Peltophorum;Nativo/Autóctono;102639;101212;-34.6183;-58.4345
38489;5;23;0;380;Cotoneaster;Cotoneaster sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Rosáceas;Cotoneaster;No Determinado;102749;101331;-34.6173;-58.4333
40605;14;24;0;363;Prunus;Prunus sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Rosáceas;Prunus;Exótico;102654;101174;-34.6187;-58.4344
40606;6;11;15;333;Arce;Acer sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Aceráceas;Acer;Exótico;102804;101197;-34.6185;-58.4327
41217;3;140;0;138;Palmito;Chamaerops humilis;Palmera;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Arecaceas;Chamaerops;Exótico;102720;101320;-34.6174;-58.4336
40599;8;18;14;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102833;101174;-34.6187;-58.4324
40600;4;14;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102818;101376;-34.6169;-58.4326
40601;3;20;10;999;No Determinable;No Determinable;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;No identificada;No identificado;No Determinado;102825;101274;-34.6178;-58.4325
40602;8;19;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102619;101287;-34.6177;-58.4347
40603;8;20;0;369;Lapacho;Tabebuia sp.;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bignoniáceas;Tabebuia;No Determinado;102627;101293;-34.6176;-58.4347
40604;1;32;15;999;No Determinable;No Determinable;No Determinado;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;No identificada;No identificado;No Determinado;102769;101264;-34.6179;-58.4331
41205;5;8;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102791;101226;-34.6182;-58.4329
41206;5;8;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102797;101227;-34.6182;-58.4328
41207;6;8;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102814;101232;-34.6182;-58.4326
41208;22;86;0;75;Palo borracho blanco;Ceiba chodatti;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Bombacáceas;Ceiba;Nativo/Autóctono;102823;101217;-34.6183;-58.4325
41209;1;4;0;17;Árbol del cielo (Ailanto o Árbol de los dioses);Ailanthus altissima;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Simarrubáceas;Ailanthus;Exótico;102631;101161;-34.6188;-58.4346
41210;3;4;0;7;Arce negundo;Acer negundo;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Aceráceas;Acer;Exótico;102618;101193;-34.6185;-58.4348
41211;2;30;0;71;Araucaria (Araucaria de pisos);Araucaria heterophylla;Árbol Conífero Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Araucariaceas;Araucaria;Exótico;102887;101232;-34.6182;-58.4318
41212;16;48;15;81;Celtis tala;Celtis ehrembergiana;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Ulmaceas;Celtis;Nativo/Autóctono;102606;101264;-34.6179;-58.4349
41213;20;35;12;387;Podocarpus;Podocarpus sp.;Árbol Conífero Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Podocarpaceae;Podocarpus;Exótico;102745;101340;-34.6172;-58.4334
41214;18;28;8;357;Fenix;Phoenix sp.;Palmera;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Arecaceas;Phoenix;Exótico;102716;101312;-34.6174;-58.4337
41215;12;45;2;41;Ginkgo;Ginkgo biloba;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Ginkgoaceas;Ginkgo;Exótico;102764;101301;-34.6175;-58.4332
41216;10;26;4;29;Mimosa (Aromo francés);Acacia dealbata;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Leguminosas;Acacia;Exótico;102742;101289;-34.6176;-58.4334
41218;15;140;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102723;101313;-34.6174;-58.4336
41219;18;160;0;79;Magnolia;Magnolia grandiflora;Árbol Latifoliado Perenne;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Magnoliáceas;Magnolia;Exótico;102728;101312;-34.6174;-58.4335
41220;6;35;0;222;Granado;Punica granatum;Arbusto o Herbacea;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Punicaceas;Punica;Exótico;102736;101308;-34.6175;-58.4335
41221;1;35;0;55;Fenix;Phoenix canariensis;Palmera;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Arecaceas;Phoenix;Exótico;102751;101325;-34.6173;-58.4333
41222;13;75;0;34;Olmo europeo;Ulmus procera;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Ulmaceas;Ulmus;Exótico;102808;101344;-34.6171;-58.4327
41223;13;78;0;34;Olmo europeo;Ulmus procera;Árbol Latifoliado Caducifolio;RIVADAVIA;RIVADAVIA, AV. - DOBLAS - ROSARIO - BEAUCHEF;Ulmaceas;Ulmus;Exótico;102807;101347;-34.6171;-58.4327
